Question,Option A,Option B,Option C,Option D,Answer,Difficulty
Matter is composed of,radicals,molecules,atoms,ions,atoms,easy
"During the process of chemical bonding, atoms try to attain",noble gas configuration,stable configuration,simple configuration,unstable configuration,noble gas configuration,medium
The attractive force that holds atoms together in molecules is called,bond,chemical bond,force of attraction,electrostatic force,chemical bond,easy
Nature of cathode rays remains the same irrespective of the,glass used,gas used,electrode used,potential used,gas used,hard
Cathode rays always travel in a,circular path,cured path,zig zag path,straight path,straight path,medium
Deflecting of cathode rays towards positively charged plats indicate it is,negatively charged,neutral,electromagnetic wave,positively charged,negatively charged,hard
By reducing the pressure of the gas in a discharge tube,gas glows,gas ionizes,gas conducts electricity,a discharge takes place,gas conducts electricity,easy
Neon sign is an example of,florescent tube,distillation tube,discharge tube,electrolytic tube,discharge tube,medium
Electric current in the conductors is the movement of,charged particles,electrons,protons,neutrons,electrons,medium
Atomic theory was particulate by,Dalton,Newton,Bohr,Thompson,Dalton,medium
Which of the following is a non-metal?,Sodium,Oxygen,Iron,Calcium,Sodium,hard
The process of converting a solid directly into a gas is called,Evaporation,Sublimation,Condensation,Vaporization,Sublimation,hard
What is the chemical symbol for silver?,Ag,Si,Au,Al,Ag,medium
Which of the following is a greenhouse gas?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Carbon dioxide,hard
The SI unit of electric current is,Ampere,Volt,Watt,Ohm,Ampere,hard
Which of the following is a vector quantity?,Speed,Distance,Displacement,Mass,Displacement,medium
The process of rusting of iron is an example of,Oxidation,Reduction,Sublimation,Evaporation,Oxidation,medium
The number of chromosomes in a human body cell is,23,46,92,20,46,medium
Which of the following is a renewable source of energy?,Coal,Natural Gas,Solar Energy,Petroleum,Solar Energy,easy
The study of sound is called,Ecology,Acoustics,Astronomy,Geology,Acoustics,hard
Which gas is responsible for the ozone layer depletion?,Carbon dioxide,Methane,Chlorofluorocarbons (CFCs),Oxygen,Chlorofluorocarbons (CFCs),easy
The function of red blood cells in the human body is to,Carry oxygen,Fight infections,Produce antibodies,Pump blood,Carry oxygen,hard
What is the chemical formula of water?,CO2,H2O,NaCl,CH4,H2O,medium
"Which planet is known as the ""Red Planet""?",Venus,Jupiter,Mars,Mercury,Mars,medium
The main component of natural gas is,Methane,Carbon dioxide,Oxygen,Nitrogen,Methane,medium
The hardest substance found on Earth is,Quartz,Diamond,Steel,Graphite,Diamond,hard
Which of the following is not a primary color of light?,Red,Blue,Yellow,Magenta,Magenta,medium
The process by which plants make their food is called,Respiration,Photosynthesis,Fermentation,Digestion,Photosynthesis,hard
The study of the earth's atmosphere is known as,Ecology,Astronomy,Meteorology,Geology,Meteorology,hard
Which of the following is a noble gas?,Helium,Nitrogen,Oxygen,Carbon,Helium,hard
What is the SI unit of force?,Newton,Joule,Watt,Volt,Newton,easy
The process of conversion of water vapor to liquid water is called:,Evaporation,Condensation,Sublimation,Precipitation,Condensation,easy
Which subatomic particle has a positive charge?,Electron,Neutron,Proton,Photon,Proton,medium
The branch of biology that deals with the study of plants is known as:,Botany,Zoology,Microbiology,Ecology,Botany,hard
The acceleration due to gravity on Earth is approximately:,9.81 m/s²,6.63 × 10^-34 m/s²,3.00 × 10^8 m/s²,1.602 × 10^-19 m/s²,9.81 m/s²,medium
The primary pigment responsible for photosynthesis in plants is:,Chlorophyll,Carotene,Melanin,Anthocyanin,Chlorophyll,hard
What is the chemical formula of methane?,CH4,CO2,H2O,N2,CH4,medium
Which of the following is a non-renewable source of energy?,Solar energy,Wind energy,nuclear energy,Tidal energy,nuclear energy,easy
The study of the structure of the body and its organs is known as:,Physiology,Anatomy,Biology,Histology,Anatomy,easy
The dimensional formula ML2 T-2 represents,The moment of a force,acceleration,Force,Momentum,The moment of a force,easy
Watt/sec is a unit of,momentum,force,energy,power,force,easy
A fixed pulley is employed to,do more work with the same force but without using pulley,change the direction of force,same work,have mechanical advantage greater than one,change the direction of force,hard
The force of friction that comes into action after the motion has started is known as,dynamic friction,static friction,friction only,limiting friction,limiting friction,hard
"Let a disc, a cylinder, a solid sphere, and a ring be rolled down in an inclined plane simultaneously.  Which will reach first?",disc,cylinder,solid sphere,ring,cylinder,hard
Which of the following is not necessary for work to be done?,an applied force,a force component along the displacement,a displacement,a constant speed,a constant speed,hard
A body at rest may have,speed,momentum,velocity,energy,energy,easy
A car accelerates for 10s at 6 m/s2. What is its final seed if its initial was 4 m/s?,34 m/s,64 m/s,60 m/s,30 m/s,64 m/s,hard
Which of the following is a vector quantity?,Mass,Speed,Velocity,Distance,Velocity,medium
"Which law of motion states that for every action, there is an equal and opposite reaction?",Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Inertia,Newton's Third Law,hard
What is the SI unit of electric charge?,Ampere,Joule,Coulomb,Volt,Coulomb,hard
What is the SI unit of work and energy?,Joule,Newton,Watt,Ohm,Joule,medium
Which type of wave does not require a medium for its propagation?,Sound wave,Mechanical wave,Electromagnetic wave,Seismic wave,Electromagnetic wave,easy
Which principle states that the total energy of an isolated system remains constant over time?,Ohm's Law,Pascal's Principle,Conservation of Energy,Bernoulli's Principle,Conservation of Energy,medium
Which of the following is a scalar quantity?,Velocity,Displacement,Speed,Acceleration,Speed,easy
What is the SI unit of frequency?,Hertz,Watt,Pascal,Joule,Hertz,hard
What is the SI unit of force?,Newton,Joule,Watt,Volt,Newton,easy
Which of Newton's laws describes inertia?,Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Gravitation,Newton's First Law,medium
What is the SI unit of power?,Watt,Joule,Newton,Ampere,Watt,medium
What is the SI unit of pressure?,Pascal,Joule,Newton,Watt,Pascal,easy
What type of energy is possessed by a body at a height above the ground?,Kinetic energy,Potential energy,Thermal energy,Mechanical energy,Potential energy,easy
The resistance of a conductor depends on its:,Length and material,Length and temperature,Temperature and material,Voltage and current,Length and material,hard
What is the SI unit of magnetic flux density?,Tesla,Weber,Henry,Gauss,Tesla,medium
What phenomenon describes the bending of light as it passes from one medium to another?,Diffraction,Reflection,Refraction,Dispersion,Refraction,hard
What law of thermodynamics states that the entropy of an isolated system never decreases?,Zeroth Law,First Law,Second Law,Third Law,Third Law,hard
The rate of change of momentum is equal to:,Force,Energy,Power,Velocity,Force,easy
What is the SI unit of capacitance?,Ampere,Ohm,Farad,Coulomb,Farad,medium
What type of waves are seismic waves?,Electromagnetic waves,Longitudinal waves,Transverse waves,Mechanical waves,Mechanical waves,medium
What type of energy is stored in an object due to its position above the Earth's surface?,Kinetic energy,Mechanical energy,Potential energy,Electrical energy,Potential energy,medium
"Which law of motion describes the relationship between force, mass, and acceleration?",Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Inertia,Newton's Second Law,easy
What happens to the resistance of a conductor if its temperature increases?,Decreases,Remains the same,Increases,Becomes zero,Increases,medium
What is the SI unit of wavelength?,Hertz,Meter,Newton,Pascal,Meter,easy
Which law of motion describes the principle behind rocket propulsion?,Newton's First Law,Newton's Second Law,Newton's Third Law,Law of Inertia,Newton's Third Law,easy
The phenomenon of the apparent change in frequency or wavelength due to the relative motion between the source and observer is called:,Refraction,Reflection,Doppler Effect,Dispersion,Doppler Effect,medium
Which of the following is a vector quantity?,Speed,Energy,Velocity,Time,Velocity,hard
What is the SI unit of magnetic flux?,Tesla,Weber,Henry,Gauss,Weber,easy
The phenomenon of splitting of light into its constituent colors is called:,Diffraction,Dispersion,Polarization,Refraction,Dispersion,easy
What is the SI unit of angular velocity?,Hertz,Radian per second,Newton,Watt,Radian per second,medium
0.003 x 0.02 =?,0.06,0.006,0.0006,0.00006,0.00006,hard
"What is the average of the numbers: 0, 0, 4, 10, 5, and 5?",2,3,4,5,5,hard
84.|-4| + |4| - 4 + 4 =?,0,2,4,8,8,hard
What is the value of x in 3x-15-6=0?,7,8,9,-9,7,hard
If A completes a particular work in 8 days and B the same work in 24 days. How many days will it take if they work together?,4,5,6,7,6,hard
"What comes next in the sequence: 1, 3, 11, 43, ____?",161,171,181,191,171,medium
In a class of 40 students 20% are girls. How many boys are there in the class?,26,28,30,32,32,easy
What is the distance travelled by a car which travelled at a speed of 80 km per hour for 3 hours and 30 minutes?,275km,280km,285km,290km,280km,medium
Solve: 3x + 7 = 22. What is the value of x?,5,6,7,8,6,easy
What is the perimeter of a rectangle with length 8 cm and width 5 cm?,26 cm,30 cm,32 cm,40 cm,30 cm,easy
Solve for y in the equation: 5y-3=2y+9,4,6,7,12,6,hard
What is the area of a triangle with base 6 cm and height 8 cm?,20 cm²,24 cm²,30 cm²,48 cm²,30 cm²,medium
A train travels 300 km in 5 hours. What is its speed?,50 km/h,55 km/h,60 km/h,65 km/h,60 km/h,easy
What is the value of sqrt {144}?,10,12,14,16,12,medium
"If 3/10 of a number is 15, what is 2/5 of that number?",20,25,30,35,25,easy
"If x+5=12, what is the value of x?",5,6,7,8,6,medium
The sum of three consecutive integers is 36. What is the smallest integer?,11,12,13,14,11,easy
What is 2/3 of 3/4 of 240?,120,140,160,180,160,hard
"If 3/7 of a number is 21, what is the number?",42,49,56,63,49,medium
A car travels at an average speed of 60 km/h. How far will it travel in 5 hours?,240 km,300 km,360 km,400 km,360 km,medium
"The ratio of boys to girls in a class is 3:2. If there are 15 girls, how many boys are there?",18,20,22,25,18,medium
Solve: 2(3x-5) = 16. What is the value of x?,5,6,7,8,6,medium
"Find the next term in the sequence: 2, 5, 9, 14, ____.",18,20,22,24,22,medium
What is the value of 5/8 of 96?,45,50,60,75,75,hard
"The sum of the two numbers is 45. If one number is 20, what is the other number?",15,25,30,35,25,medium
Solve for x in the equation: ⅔ (4x - 5) = 10.,3,4,5,6,5,medium
What is the volume of a cube with side length 5 cm?,15 cm³,20 cm³,25 cm³,30 cm³,25 cm³,hard
The area of a square field is 144 square meters. What is the length of one side of the field?,10 meters,12 meters,14 meters,16 meters,12 meters,easy
What is the sum of the interior angles of a triangle?,90 degrees,180 degrees,270 degrees,360 degrees,180 degrees,easy
Solve: 2(5x + 3) = 28. What is the value of x?,2,3,4,5,3,hard
"The area of a rectangle is 72 square units, and its length is 9 units. What is its width?",6 units,8 units,10 units,12 units,10 units,easy
Solve: 4x-7=5x+2. What is the value of x?,-9,-5,-3,3,-3,medium
Solve for y in the equation: 3y + 10 = 25.,5,6,7,8,7,easy
What is the next prime number after 17?,18,19,20,21,19,easy
The exterior angles of any polygon always sum up to:,90 degrees,180 degrees,270 degrees,360 degrees,360 degrees,medium
Solve: ¼x+8=12. What is the value of x?,16,20,24,28,20,hard
A store sells shirts for $15 each. How much will 8 shirts cost?,$80 ,$100 ,$120 ,$135 ,$120 ,easy
"If a box contains 24 chocolates and 3 chocolates are taken out, what fraction of chocolates remains?",01-Jun,01-Aug,07-Aug,05-Jun,07-Aug,hard
Modern computers compared to earlier computers are,faster and larger,less reliable,larger and stronger,faster and smaller,faster and smaller,medium
A computer derives its basic strength from,speed,accuracy,memory,all the above,all the above,hard
The use of computer for business applications is attractive because of its,accuracy,reliability,speed,all the above,all the above,medium
"A computer can perform almost any task provided, that it can be",coded,memorized,analyzed,reduced to a series of logical steps,reduced to a series of logical steps,easy
Computer cannot do anything without a,chip,memory,output device,program,program,hard
ABIT represents a,decimal digit,octal digit,binary digit,hex decimal digit,hex decimal digit,medium
A computer possesses information,as directed by the operator,automatically,at once,gradually and eventually,automatically,hard
"A company has very high speed, accuracy, and reliability. Its intelligence quotient could be of the order of",100,0,50,200,0,easy
"Processors of all computers, whether micro, mini or mainframe must have",ALU,primary storage,control unit,all of these,all of these,easy
The speed of a CPU is measured in,Gigabytes,Megahertz,Kilobytes,Terabytes,Terabytes,hard
What does RAM stand for?,Read-And-Make,Random Access Memory,Read-Only Memory,Rapidly Accessed Module,Random Access Memory,medium
What is the primary function of an operating system?,Manage hardware resources,Run applications,Create documents,Play multimedia,Manage hardware resources,hard
What is the binary equivalent of the decimal number 25?,10101,11001,11100,11001,11001,easy
What is the role of a GPU in a computer?,Speed up the CPU,Handle graphical operations and calculations,Manage memory allocation,Execute system commands,Handle graphical operations and calculations,easy
Which programming language is often used for artificial intelligence and machine learning?,Java,Python,C++,JavaScript,Python,medium
What does HTTP stand for in web addresses?,Hypertext Transfer Program,Hypertext Transfer Protocol,Hypertext Terminal Protocol,Hypertext Transmission Program,Hypertext Transfer Protocol,medium
What is the function of a firewall in a computer system?,Filter incoming and outgoing network traffic to prevent unauthorized access,Manage computer memory,Speed up internet connectivity,Organize file storage,Filter incoming and outgoing network traffic to prevent unauthorized access,medium
Which component of a computer is responsible for storing data long-term?,RAM,CPU,Hard Disk Drive,Cache,Hard Disk Drive,medium
What is the purpose of an IP address?,To identify a website,To identify a location on the internet,To encrypt data transmission,To store web page content,To identify a location on the internet,easy
What is the purpose of an Ethernet cable in computer networking?,Transmitting power to the computer,Connecting devices to create a local network,Enhancing the processor speed,Cooling down the CPU,Connecting devices to create a local network,hard
Which programming language is often used for developing mobile applications?,Java,Swift,PHP,Ruby,Swift,medium
What is the function of a compiler in programming?,Executes the code line by line,Converts high-level code to machine code,Stores data temporarily,Checks for logical errors in the code,Converts high-level code to machine code,hard
What does URL stand for?,Uniform Resource Locator,Universal Research Location,User-Requested Link,Unified Router Language,Uniform Resource Locator,hard
What is the purpose of a DNS server?,Store web browsing history,Encrypt internet traffic,Convert domain names to IP addresses,Manage firewall settings,Convert domain names to IP addresses,medium
Which file format is commonly used for images with transparent backgrounds?,JPEG,BMP,PNG,GIF,PNG,easy
What is the primary function of an antivirus software?,Speed up computer performance,Securely store passwords,Protect against malware and viruses,Enhance internet connectivity,Protect against malware and viruses,hard
What does GUI stand for in computing?,Graphical User Interface,General Utility Interface,Graphics Usage Interface,Graphical Unit Integration,Graphical User Interface,easy
What does SSD stand for in computer hardware?,Solid State Drive,Super Speed Device,Storage System Disk,Software Storage Device,Solid State Drive,medium
What is the purpose of a cache in a computer system?,Store temporary data for quick access,Manage system cooling,Create backup copies of files,Increase screen resolution,Store temporary data for quick access,medium
Which programming language is often used for web development and scripting?,C#,Python,JavaScript,Perl,JavaScript,easy
What is the function of a router in a network?,Connects devices within a local network,Manages printer functions,Increases RAM capacity,Encrypts data transmission,Connects devices within a local network,hard
What does HTML stand for in web development?,Hyper Transfer Markup Language,Hyper Text Management Language,Hyperlink Texting and Markup Language,Hypertext Markup Language,Hypertext Markup Language,medium
What is the role of a modem in computer networking?,Connects multiple devices wirelessly,Converts digital data to analog signals for transmission over phone lines,Enhances processor speed,Manages system security,Converts digital data to analog signals for transmission over phone lines,easy
Which programming language is commonly used for database management?,SQL,Ruby,Java,PHP,SQL,easy
What is the function of a motherboard in a computer?,Stores operating system files,Manages internet connectivity,Connects and allows communication between various hardware components,Performs complex calculations,Connects and allows communication between various hardware components,easy
Which type of software helps users create documents and presentations?,Operating system,Utility software,Productivity software,Security software,Productivity software,hard
What is the purpose of a firewall in computer security?,Enhance internet speed,Block unauthorized access to a network or system,Create backup copies of files,Monitor computer performance,Block unauthorized access to a network or system,medium
What is the function of a power supply unit (PSU) in a computer?,Protects against viruses,Manages network connections,Supplies power to all components within the computer,Provides extra storage space,Supplies power to all components within the computer,easy
Which programming language is often used for scientific and mathematical computations?,Python,JavaScript,C++,Ruby,Python,easy
Choose the word most similar in meaning to CANNY.,Obstinate,Handsome,Clever,Stout,Clever,easy
Choose the word most similar in meaning to WARRIOR.,Soldier,Sailor,Pirate,Spy,Soldier,hard
Choose the word most similar in meaning to DISTANT.,Far,Removed,Reserved,Separate,Far,hard
Select the lettered pair that best  expresses a relationship similar to HEIGHT: MOUNTAIN,Depth : Trench,Shade : Tree,Weight : Age,Speed : Highway,Depth : Trench,medium
Select the lettered pair that best  expresses a relationship similar to ACT : ACTION,Therapy : Thermometer,Oblivion : Obvious,Liturgy : Literature,Image : Imagine,Image : Imagine,easy
Select the lettered pair that best  expresses a relationship similar to DISTANCE:MILE,liquid: liter,bushel: corn,weight: scale,fame: television,weight: scale,medium
Choose the lettered word or phrase that is most nearly opposite  in meaning to EXODUS.,Influx,Home-coming,Return,Restoration,Return,medium
Choose the lettered word or phrase that is most nearly opposite  in meaning to DETER.,Twist,Intimidate,Encourage,Straighten,Encourage,easy
Choose the lettered word or phrase that is most nearly opposite  in meaning to QUIZZICAL.,Amused,Unequivocal,Contorted,Dissimilar,Unequivocal,hard
Choose the lettered word or phrase that is most nearly opposite  in meaning to  EXPAND.,Convert,Condense,Congest,Conclude,Condense,medium
Choose the word that is closest in meaning to VIVACIOUS.,Lively,Boring,Dull,Lifeless,Lively,easy
Choose the word that is closest in meaning to PRECISE.,Accurate,Rough,Indistinct,Vague,Accurate,hard
Select the word that is closest in meaning to LETHARGIC.,Energetic,Lazy,Active,Dynamic,Lazy,medium
Choose the lettered pair that best expresses a relationship similar to FELINE: CAT,Canine : Dog,Pachyderm : Elephant,Bovine : Cow,Ovine : Sheep,Canine : Dog,hard
Select the word that is closest in meaning to CONUNDRUM.,Puzzle,Solution,Explanation,Clarity,Puzzle,easy
Choose the word that is closest in meaning to AMIABLE.,Hostile,Friendly,Rude,Irritable,Friendly,easy
Choose the lettered word or phrase that is most nearly opposite in meaning to OBSCURE.,Clear,Unclear,Vague,Ambiguous,Clear,medium
Select the word that is closest in meaning to TENACIOUS.,Weak,Persistent,Flexible,Sporadic,Persistent,medium
Choose the word that is closest in meaning to INQUISITIVE.,Curious,Indifferent,Apathetic,Disinterested,Curious,medium
Select the word that is closest in meaning to COPIOUS.,Abundant,Scarce,Meager,Limited,Abundant,easy
Choose the word that is closest in meaning to INCONSPICUOUS.,Visible,Obvious,Unnoticeable,Prominent,Unnoticeable,easy
Choose the lettered word or phrase that is most nearly opposite in meaning to ABANDON.,Embrace,Cling,Retain,Hold,Retain,hard
Select the word that is closest in meaning to FORTUITOUS.,Planned,Accidental,Intentional,Deliberate,Accidental,medium
Choose the word that is closest in meaning to ERRONEOUS.,Correct,Faulty,Accurate,Precise,Faulty,easy
Choose the lettered word or phrase that is most nearly opposite in meaning to RESILIENT.,Fragile,Tough,Flexible,Durable,Fragile,easy
Choose the word that is closest in meaning to PONDER.,Think,Ignore,Forget,Neglect,Think,medium
Choose the word that is closest in meaning to ASCEND.,Fall,Descend,Climb,Plummet,Climb,hard
Choose the word that is closest in meaning to SERENE.,Tranquil,Noisy,Chaotic,Agitated,Tranquil,hard
Select the word that is closest in meaning to RUDIMENTARY.,Advanced,Basic,Elaborate,Complicated,Basic,easy
Choose the word that is closest in meaning to INCESSANT.,Temporary,Continuous,Sporadic,Occasional,Continuous,easy
Choose the lettered pair that best expresses a relationship similar to SOAR : ASCEND.,Plunge : Dive,Fall : Descend,Expand : Extend,Surge : Rise,Surge : Rise,easy
Select the word that is closest in meaning to CUNNING.,Deceptive,Honest,Naive,Straightforward,Deceptive,medium
Choose the word that is closest in meaning to EXASPERATE.,Anger,Annoy,Calm,Pacify,Annoy,hard
Choose the lettered word or phrase that is most nearly opposite in meaning to SERENE.,Agitated,Peaceful,Tranquil,Calm,Agitated,easy
Select the word that is closest in meaning to OSTENTATIOUS.,Modest,Showy,Simple,Plain,Showy,hard
Choose the word that is closest in meaning to AMALGAMATE.,Separate,Merge,Divide,Disperse,Merge,medium
Choose the lettered word or phrase that is most nearly opposite in meaning to VACANT.,Occupied,Available,Empty,Free,Occupied,medium
